respid,fdate,qage,s1,s1a,s1com,s2,q1,q2,q3,q4,q5,q6,q7,d1,d2,d3,d4,d5,d7,d8,d9,d10,d11,d12,d13_1,d13_2,d13_3,d13_4,d13_5,d13_6,d14a,d14b,d14c,d15,sex,party_co,age,race,cong_dis,weight
100191,210621,57,55-59, ,55-59,Yes,Extremely likely,Extremely important,Very important,Very important,Somewhat important,Strongly support,Very favorable,Male,55-59 years,No,No,"Divorced,",Always,Republican,Conservative,"Post high school education, but with no degree","Unemployed, but looking for work",No,White/Caucasian, , , , , ,No,No,No,"$150,000 to less than $200,000",M,S,57,C,2,1.258484
100233,210621,999,Refused [DO NOT READ],55-59,55-59,Yes,Very Likely,Extremely important,Not at all important,Somewhat important,Extremely important,Strongly support,Somewhat favorable,Male,55-59 years,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],"Married,","Seldom,",Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],No,Don't know or refused [DO NOT READ], , , , , ,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],M,S,53,H,1,.468468
100509,210621,76,75+, ,75+,Yes,Not at all likely,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat support,Somewhat favorable,Female,75 + years,No,Yes,"Married,",Most of the time,Republican,Conservative,"Post-graduate study, but with no degree",Employed part-time,No,Black/African American, , , , , ,No,No,No,"$50,000 to less than $60,000",M,S,73,C,5,.800756
100580,210629,74,70-74, ,70-74,Yes,Very Likely,Somewhat important,Somewhat important,Somewhat important,Not very important,Strongly oppose,Not at all favorable,Female,70-74 years,No,Yes,"Married,",Always,Republican,Conservative,4-year college degree,Employed part-time,No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,U,52,C,7,1.062288
100622,210621,68,65-69, ,65-69,Yes,Not at all likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Very favorable,Female,65-69 years,Yes,Yes,"Widowed,",Most of the time,Republican,Conservative,High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$15,000 to less than $25,000",F,S,68,C,3,1.170382
100791,210621,67,65-69, ,65-69,Yes,Very Likely,Very important,Somewhat important,Very important,Extremely important,Somewhat support,Extremely favorable,Female,65-69 years,Yes,Yes,"Widowed,",Always,Democrat,Moderate,High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,Yes,Yes,No,"$15,000 to less than $25,000",F,E,67,C,4,1.170382
100821,210621,79,75+, ,75+,Yes,Very Likely,Extremely important,Extremely important,Somewhat important,Don't know or refused [DO NOT READ],Somewhat support,Somewhat favorable,Female,75 + years,No,Yes,"Married,",Always,Don't know or refused [DO NOT READ],Moderate,High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,S,73,C,4,1.063092
100847,210621,62,60-64, ,60-64,Yes,Don't know or refused [DO NOT READ],Extremely important,Very important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,60-64 years,No,No,Currently Single and never been married,"Seldom,",Democrat,Moderate,2-year college degree,"Retired and not working at all,",No,Black/African American, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,E,61,B,7,.813436
100904,210621,69,65-69, ,65-69,Yes,Not at all likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Very favorable,Female,65-69 years,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],No,White/Caucasian, , , , , ,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],M,S,69,C,6,1.170382
100909,210621,59,55-59, ,55-59,Yes,Extremely likely,Very important,Very important,Very important,Very important,Somewhat support,Very favorable,Male,55-59 years,Yes,Yes,"Married,",Always,Republican,Moderate,4-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,Yes,No,Don't know or refused [DO NOT READ],M,S,59,C,3,1.258484
